company_id,event_id,filing_accession,source_spans,confidence
CAT,"CAT|Earnings|April 30, 2026|0000018230-26-000017",0000018230-26-000017,section_1,high
AMGN,"AMGN|OfficerDirectorChange|May 19, 2026|0000318154-26-000097",0000318154-26-000097,section_1,high
CSCO,CSCO|ShareholderVote||0000858877-25-000150,0000858877-25-000150,section_0,medium
CSCO,"CSCO|OfficerDirectorChange|April 27, 2026|0000858877-26-000057",0000858877-26-000057,section_1,high
CSCO,"CSCO|OfficerDirectorChange|May 13, 2026|0000858877-26-000075",0000858877-26-000075,section_4,high
COP,COP|ShareholderVote||0001104659-26-036366,0001104659-26-036366,section_0,medium
COP,"COP|OfficerDirectorChange|May 12, 2026|0001104659-26-061130",0001104659-26-061130,section_1,high
CAT,CAT|ShareholderVote||0001104659-26-072929,0001104659-26-072929,section_1,high
CAT,CAT|OfficerDirectorChange||0001104659-26-072929,0001104659-26-072929,section_1,high
COP,"COP|OfficerDirectorChange|June 23, 2026|0001104659-26-076836",0001104659-26-076836,section_1,high
AMGN,AMGN|ShareholderVote||0001193125-26-145588,0001193125-26-145588,section_0,medium
AMGN,"AMGN|ShareholderVote|May 19, 2026|0001193125-26-232786",0001193125-26-232786,section_1,high
AMGN,"AMGN|OfficerDirectorChange|May 19, 2026|0001193125-26-232786",0001193125-26-232786,section_1,high
CAT,CAT|ShareholderVote||0001308179-26-000358,0001308179-26-000358,section_0,medium
DIS,"DIS|ShareholderVote|March 18, 2026|0001628280-26-020172",0001628280-26-020172,section_2,high
DIS,"DIS|OfficerDirectorChange|March 18, 2026|0001628280-26-020172",0001628280-26-020172,section_1,high
DIS,DIS|ShareholderVote||0001744489-26-000013,0001744489-26-000013,section_0,medium
