company_id,filing_id
CAT,0000018230-26-000008
CAT,0000018230-26-000017
AMGN,0000318154-26-000010
AMGN,0000318154-26-000097
CSCO,0000858877-25-000111
CSCO,0000858877-25-000150
CSCO,0000858877-26-000057
CSCO,0000858877-26-000075
COP,0001104659-26-036366
COP,0001104659-26-061130
CAT,0001104659-26-072929
COP,0001104659-26-076836
COP,0001163165-26-000009
AMGN,0001193125-26-145588
AMGN,0001193125-26-232786
CAT,0001308179-26-000358
DIS,0001628280-26-020172
DIS,0001744489-25-000155
DIS,0001744489-26-000013
DIS,0001744489-26-000036
