accession,ticker,form,filing_date,event_date
0000018230-26-000008,CAT,10-K,2026-02-13,
0000018230-26-000017,CAT,8-K,2026-04-30,"April 30, 2026"
0000318154-26-000010,AMGN,10-K,2026-02-13,
0000318154-26-000097,AMGN,8-K,2026-05-19,"May 19, 2026"
0000858877-25-000111,CSCO,10-K,2025-09-03,
0000858877-25-000150,CSCO,DEF 14A,2025-10-28,
0000858877-26-000057,CSCO,8-K,2026-05-01,"April 27, 2026"
0000858877-26-000075,CSCO,8-K,2026-05-13,"May 13, 2026"
0001104659-26-036366,COP,DEF 14A,2026-03-30,
0001104659-26-061130,COP,8-K,2026-05-14,"May 12, 2026"
0001104659-26-072929,CAT,8-K,2026-06-11,
0001104659-26-076836,COP,8-K,2026-06-23,"June 23, 2026"
0001163165-26-000009,COP,10-K,2026-02-17,
0001193125-26-145588,AMGN,DEF 14A,2026-04-07,
0001193125-26-232786,AMGN,8-K,2026-05-20,"May 19, 2026"
0001308179-26-000358,CAT,DEF 14A,2026-04-30,
0001628280-26-020172,DIS,8-K,2026-03-20,"March 18, 2026"
0001744489-25-000155,DIS,10-K,2025-11-13,
0001744489-26-000013,DIS,DEF 14A,2026-01-22,
0001744489-26-000036,DIS,8-K,2026-05-06,"May 6, 2026"
